Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-03,ADANIPORTS,EQ,438.2,442.0,444.5,433.05,435.85,435.8,439.93,10810399,475582565000000.0,97802.0,3437310,0.318
2020-12-04,ADANIPORTS,EQ,435.8,439.7,458.3,439.0,457.0,453.7,446.64,10271034,458743446195000.0,104783.0,1627912,0.1585
2020-12-07,ADANIPORTS,EQ,453.7,461.0,474.9,459.0,470.0,471.5,469.18,16140936,757305347015000.0,154105.0,1509290,0.0935
2020-12-08,ADANIPORTS,EQ,471.5,472.7,474.7,457.55,463.5,463.35,463.51,9218366,427277663455000.0,105341.0,2356232,0.2556
2020-12-09,ADANIPORTS,EQ,463.35,467.65,469.9,458.15,465.05,463.9,464.92,5811412,270185555115000.0,67073.0,1003390,0.1727
2020-12-10,ADANIPORTS,EQ,463.9,463.9,474.1,457.0,471.8,471.0,465.89,4785102,222930946910000.0,52741.0,862937,0.18030000000000002
2020-12-11,ADANIPORTS,EQ,471.0,471.75,475.0,462.7,465.0,466.3,467.96,4922448,230349564294999.97,52997.0,555702,0.1129
2020-12-14,ADANIPORTS,EQ,466.3,468.6,472.45,463.1,466.9,467.0,467.52,5943652,277877560425000.0,69266.0,1048729,0.1764
2020-12-15,ADANIPORTS,EQ,467.0,469.5,479.65,461.45,475.3,475.75,474.34,10973876,520536129125000.0,128683.0,1723295,0.157
2020-12-16,ADANIPORTS,EQ,475.75,480.0,480.45,473.15,476.0,475.55,476.32,5452263,259701828335000.0,70859.0,1329344,0.2438
2020-12-17,ADANIPORTS,EQ,475.55,478.0,478.8,465.55,468.75,467.75,470.81,6757703,318158781530000.0,102164.0,2083588,0.30829999999999996
2020-12-18,ADANIPORTS,EQ,467.75,467.75,472.95,458.5,462.0,463.3,464.49,5980780,277803792780000.03,70891.0,1889805,0.316
2020-12-21,ADANIPORTS,EQ,463.3,459.0,467.0,427.2,441.4,444.25,457.25,8223842,376032939910000.0,89880.0,1707971,0.2077
2020-12-22,ADANIPORTS,EQ,444.25,444.25,470.5,435.0,468.9,468.65,454.42,9462053,429977617755000.0,113590.0,1289377,0.1363
2020-12-23,ADANIPORTS,EQ,468.65,467.15,476.7,462.5,470.0,470.75,471.51,7943560,374550347235000.0,94713.0,1311136,0.16510000000000002
2020-12-24,ADANIPORTS,EQ,470.75,474.9,482.9,466.0,477.45,478.55,475.4,7679078,365063731960000.0,95603.0,951519,0.12390000000000001
2020-12-28,ADANIPORTS,EQ,478.55,480.0,492.95,480.0,484.0,483.55,487.06,8372924,407808552590000.0,85170.0,592608,0.0708
2020-12-29,ADANIPORTS,EQ,483.55,485.0,489.85,478.2,482.25,483.4,484.5,5866837,284246301735000.0,71303.0,834236,0.14220000000000002
2020-12-30,ADANIPORTS,EQ,483.4,484.0,487.6,478.15,484.75,485.4,483.05,3736356,180483448980000.0,53291.0,330789,0.0885
